REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2017/01/01 00:30:00,6462.14,186.25,TRADE
QLD1,2017/01/01 01:00:00,6352.82,83.75,TRADE
QLD1,2017/01/01 01:30:00,6261.02,64.91,TRADE
QLD1,2017/01/01 02:00:00,6169.66,53.33,TRADE
QLD1,2017/01/01 02:30:00,6149.87,64.03,TRADE
QLD1,2017/01/01 03:00:00,6038.86,57.50,TRADE
QLD1,2017/01/01 03:30:00,5960.09,52.02,TRADE
QLD1,2017/01/01 04:00:00,5894.37,54.35,TRADE
QLD1,2017/01/01 04:30:00,5874.75,59.63,TRADE
QLD1,2017/01/01 05:00:00,5834.9,57.64,TRADE
QLD1,2017/01/01 05:30:00,5829.53,55.91,TRADE
QLD1,2017/01/01 06:00:00,5772.74,47.76,TRADE
QLD1,2017/01/01 06:30:00,5847.59,47.99,TRADE
QLD1,2017/01/01 07:00:00,5929.49,47.15,TRADE
QLD1,2017/01/01 07:30:00,6053.55,46.08,TRADE
QLD1,2017/01/01 08:00:00,6133.53,46.83,TRADE
QLD1,2017/01/01 08:30:00,6264.87,48.91,TRADE
QLD1,2017/01/01 09:00:00,6485.89,54.32,TRADE
QLD1,2017/01/01 09:30:00,6610.2,60.06,TRADE
QLD1,2017/01/01 10:00:00,6769.76,57.55,TRADE
QLD1,2017/01/01 10:30:00,6917.15,79.89,TRADE
QLD1,2017/01/01 11:00:00,6992.67,292.05,TRADE
QLD1,2017/01/01 11:30:00,7047.07,99.72,TRADE
QLD1,2017/01/01 12:00:00,7179.8,214.18,TRADE
QLD1,2017/01/01 12:30:00,7280.93,298.82,TRADE
QLD1,2017/01/01 13:00:00,7329.27,98.50,TRADE
QLD1,2017/01/01 13:30:00,7440.06,82.33,TRADE
QLD1,2017/01/01 14:00:00,7530.07,104.05,TRADE
QLD1,2017/01/01 14:30:00,7619.91,108.77,TRADE
QLD1,2017/01/01 15:00:00,7680.57,119.94,TRADE
QLD1,2017/01/01 15:30:00,7801.23,101.09,TRADE
QLD1,2017/01/01 16:00:00,7897.56,185.32,TRADE
QLD1,2017/01/01 16:30:00,7841,303.85,TRADE
QLD1,2017/01/01 17:00:00,7996.54,112.73,TRADE
QLD1,2017/01/01 17:30:00,8042.19,114.06,TRADE
QLD1,2017/01/01 18:00:00,7933.6,291.35,TRADE
QLD1,2017/01/01 18:30:00,7903.67,91.54,TRADE
QLD1,2017/01/01 19:00:00,7975.06,111.76,TRADE
QLD1,2017/01/01 19:30:00,8030.82,76.03,TRADE
QLD1,2017/01/01 20:00:00,7981.29,86.72,TRADE
QLD1,2017/01/01 20:30:00,7883.46,97.03,TRADE
QLD1,2017/01/01 21:00:00,7686.81,61.69,TRADE
QLD1,2017/01/01 21:30:00,7568.41,76.11,TRADE
QLD1,2017/01/01 22:00:00,7343.85,56.34,TRADE
QLD1,2017/01/01 22:30:00,7154.45,66.53,TRADE
QLD1,2017/01/01 23:00:00,7065.76,69.23,TRADE
QLD1,2017/01/01 23:30:00,6763.58,62.71,TRADE
QLD1,2017/01/02 00:00:00,6445.77,61.04,TRADE
QLD1,2017/01/02 00:30:00,6288.1,61.07,TRADE
QLD1,2017/01/02 01:00:00,6202.45,52.95,TRADE
QLD1,2017/01/02 01:30:00,6065.56,46.82,TRADE
QLD1,2017/01/02 02:00:00,6003.66,43.85,TRADE
