REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2019/01/01 00:30:00,1019.42,75.27,TRADE
TAS1,2019/01/01 01:00:00,1009.7,76.45,TRADE
TAS1,2019/01/01 01:30:00,986.14,77.77,TRADE
TAS1,2019/01/01 02:00:00,963.92,74.79,TRADE
TAS1,2019/01/01 02:30:00,962.61,71.28,TRADE
TAS1,2019/01/01 03:00:00,952.53,69.02,TRADE
TAS1,2019/01/01 03:30:00,957.57,67.34,TRADE
TAS1,2019/01/01 04:00:00,964.78,66.69,TRADE
TAS1,2019/01/01 04:30:00,943.16,81.80,TRADE
TAS1,2019/01/01 05:00:00,950.6,80.36,TRADE
TAS1,2019/01/01 05:30:00,961.64,83.17,TRADE
TAS1,2019/01/01 06:00:00,957.04,80.36,TRADE
TAS1,2019/01/01 06:30:00,974.27,80.85,TRADE
TAS1,2019/01/01 07:00:00,985.99,80.85,TRADE
TAS1,2019/01/01 07:30:00,990.61,82.86,TRADE
TAS1,2019/01/01 08:00:00,989.67,83.44,TRADE
TAS1,2019/01/01 08:30:00,998.85,83.45,TRADE
TAS1,2019/01/01 09:00:00,999.99,83.45,TRADE
TAS1,2019/01/01 09:30:00,998.93,83.44,TRADE
TAS1,2019/01/01 10:00:00,987.08,83.44,TRADE
TAS1,2019/01/01 10:30:00,989.17,83.45,TRADE
TAS1,2019/01/01 11:00:00,990.3,82.89,TRADE
TAS1,2019/01/01 11:30:00,979.43,80.36,TRADE
TAS1,2019/01/01 12:00:00,977.88,87.37,TRADE
TAS1,2019/01/01 12:30:00,969.06,90.04,TRADE
TAS1,2019/01/01 13:00:00,959.63,89.85,TRADE
TAS1,2019/01/01 13:30:00,957.97,95.70,TRADE
TAS1,2019/01/01 14:00:00,969.56,91.60,TRADE
TAS1,2019/01/01 14:30:00,989.36,87.37,TRADE
TAS1,2019/01/01 15:00:00,994.43,85.85,TRADE
TAS1,2019/01/01 15:30:00,999.15,87.49,TRADE
TAS1,2019/01/01 16:00:00,1032,103.52,TRADE
TAS1,2019/01/01 16:30:00,1075.81,101.34,TRADE
TAS1,2019/01/01 17:00:00,1124.95,89.46,TRADE
TAS1,2019/01/01 17:30:00,1145.42,93.42,TRADE
TAS1,2019/01/01 18:00:00,1142.44,111.85,TRADE
TAS1,2019/01/01 18:30:00,1157.05,120.31,TRADE
TAS1,2019/01/01 19:00:00,1161.05,131.59,TRADE
TAS1,2019/01/01 19:30:00,1149.34,110.48,TRADE
TAS1,2019/01/01 20:00:00,1144.53,100.30,TRADE
TAS1,2019/01/01 20:30:00,1133.76,97.58,TRADE
TAS1,2019/01/01 21:00:00,1117.84,94.55,TRADE
TAS1,2019/01/01 21:30:00,1109.84,89,TRADE
TAS1,2019/01/01 22:00:00,1084.5,67.69,TRADE
TAS1,2019/01/01 22:30:00,1044.84,124.43,TRADE
TAS1,2019/01/01 23:00:00,1011.08,77.28,TRADE
TAS1,2019/01/01 23:30:00,1003.04,78.55,TRADE
TAS1,2019/01/02 00:00:00,997.73,83.21,TRADE
TAS1,2019/01/02 00:30:00,996.38,82.42,TRADE
TAS1,2019/01/02 01:00:00,983.8,80.81,TRADE
TAS1,2019/01/02 01:30:00,967.34,81.90,TRADE
TAS1,2019/01/02 02:00:00,973.43,83.44,TRADE
TAS1,2019/01/02 02:30:00,975.17,83.45,TRADE
TAS1,2019/01/02 03:00:00,968.16,83.43,TRADE
TAS1,2019/01/02 03:30:00,964.33,80.87,TRADE
TAS1,2019/01/02 04:00:00,981.86,82.41,TRADE
TAS1,2019/01/02 04:30:00,994.97,92.33,TRADE
TAS1,2019/01/02 05:00:00,1017.07,91.17,TRADE
TAS1,2019/01/02 05:30:00,1046.32,92.91,TRADE
TAS1,2019/01/02 06:00:00,1077.12,126.05,TRADE
TAS1,2019/01/02 06:30:00,1101.62,130.77,TRADE
TAS1,2019/01/02 07:00:00,1120.37,105.57,TRADE
TAS1,2019/01/02 07:30:00,1108.77,106.39,TRADE
TAS1,2019/01/02 08:00:00,1111.04,111.50,TRADE
TAS1,2019/01/02 08:30:00,1082.33,98.81,TRADE
TAS1,2019/01/02 09:00:00,1061.11,98.22,TRADE
TAS1,2019/01/02 09:30:00,1019.08,98.04,TRADE
TAS1,2019/01/02 10:00:00,1007.79,96.04,TRADE
TAS1,2019/01/02 10:30:00,1025.25,112.88,TRADE
TAS1,2019/01/02 11:00:00,1031.14,107.78,TRADE
TAS1,2019/01/02 11:30:00,1016.63,101.03,TRADE
TAS1,2019/01/02 12:00:00,1001.94,113.60,TRADE
TAS1,2019/01/02 12:30:00,1007.44,104.77,TRADE
TAS1,2019/01/02 13:00:00,1003.78,169.57,TRADE
TAS1,2019/01/02 13:30:00,1036.67,103.94,TRADE
TAS1,2019/01/02 14:00:00,1054.15,105.58,TRADE
TAS1,2019/01/02 14:30:00,1052.31,106.66,TRADE
TAS1,2019/01/02 15:00:00,1036.18,96.41,TRADE
TAS1,2019/01/02 15:30:00,1046.48,91.94,TRADE
TAS1,2019/01/02 16:00:00,1071.56,91.92,TRADE
TAS1,2019/01/02 16:30:00,1077.06,107.61,TRADE
TAS1,2019/01/02 17:00:00,1120.77,111.48,TRADE
TAS1,2019/01/02 17:30:00,1126.24,106.02,TRADE
TAS1,2019/01/02 18:00:00,1156.41,121.15,TRADE
TAS1,2019/01/02 18:30:00,1170.5,117.75,TRADE
TAS1,2019/01/02 19:00:00,1141.11,147.98,TRADE
TAS1,2019/01/02 19:30:00,1143.69,95.85,TRADE
TAS1,2019/01/02 20:00:00,1133.12,101.47,TRADE
TAS1,2019/01/02 20:30:00,1128.28,103.79,TRADE
TAS1,2019/01/02 21:00:00,1119.41,95.34,TRADE
TAS1,2019/01/02 21:30:00,1112.48,99.47,TRADE
TAS1,2019/01/02 22:00:00,1078.92,94.75,TRADE
TAS1,2019/01/02 22:30:00,1056.45,94.08,TRADE
TAS1,2019/01/02 23:00:00,1035.32,94.07,TRADE
TAS1,2019/01/02 23:30:00,1015.22,92.83,TRADE
TAS1,2019/01/03 00:00:00,1012.39,92.88,TRADE
TAS1,2019/01/03 00:30:00,992.93,94.08,TRADE
TAS1,2019/01/03 01:00:00,993.81,94.09,TRADE
TAS1,2019/01/03 01:30:00,988.36,94.09,TRADE
TAS1,2019/01/03 02:00:00,972.21,96.67,TRADE
TAS1,2019/01/03 02:30:00,983.48,95.80,TRADE
TAS1,2019/01/03 03:00:00,977.71,96.12,TRADE
TAS1,2019/01/03 03:30:00,971.96,96.35,TRADE
TAS1,2019/01/03 04:00:00,999.17,97.22,TRADE
TAS1,2019/01/03 04:30:00,1022.24,97.27,TRADE
